ControlScheme,Time,MoveDeltaX,MoveDeltaY,AimDeltaX,AimDeltaY
Gamepad,30.05999,0,0,-0.02243102,-0.008049071
Gamepad,30.07999,0,0,-0.0305512,-0.0195972
Gamepad,30.09999,0,0,-0.02232856,-0.01997441
Gamepad,30.11999,0,0,-0.0292269,-0.02509758
Gamepad,30.13999,0,0,-0.007389843,-0.00686717
Gamepad,30.15999,0,0,-0.01114702,-0.01305658
Gamepad,30.17999,0,0,-0.01149654,-0.01711121
Gamepad,30.19999,0,0,-0.007248938,-0.01268792
Gamepad,30.21999,0,0,-0.003119349,-0.00752002
Gamepad,30.23999,0,0,-0.002019703,-0.003309637
Gamepad,30.25999,0,0,-0.002323508,-0.003461629
Gamepad,30.29999,0,0,-0.0003250837,-0.003245831
Gamepad,30.31999,0,0,-0.0003404021,-0.003403664
Gamepad,30.33999,0,0,-0.005241632,-0.007743746
Gamepad,30.35999,0,0,-0.004644632,-0.005688518
Gamepad,30.37999,0,0,-0.001753092,-0.001656592
Gamepad,30.39999,0,0,-0.006167293,-0.00466451
Gamepad,30.41999,0,0,-0.006668866,-0.004958272
Gamepad,30.43999,0,0,-0.004705846,-0.005784541
Gamepad,30.45999,0,0,-0.0122205,-0.01414108
Gamepad,30.49999,0,0,-0.01557004,-0.01548176
Gamepad,30.51999,0,0,-0.03376424,-0.02432378
Gamepad,30.53999,0,0,-0.04288289,-0.02392511
Gamepad,30.55999,0,0,-0.04344833,-0.02538592
Gamepad,30.57999,0,0,-0.09180075,-0.0485127
Gamepad,30.59999,0,0,-0.06099738,-0.02870521
Gamepad,30.61999,0,0,-0.0691379,-0.03196321
Gamepad,30.63999,0,0,-0.05759612,-0.02558085
Gamepad,30.65999,0,0,-0.05289369,-0.02313874
Gamepad,30.67999,0,0,-0.01439497,-0.006218632
Gamepad,30.69999,0,0,-0.02359717,-0.01048158
Gamepad,30.71999,0,0,-0.002108986,-0.0009670025
Gamepad,31.03999,0,0,-0.03133932,-0.008378358
Gamepad,31.05999,0,0,-0.0768668,-0.02625563
Gamepad,31.07999,-0.0002847314,0.002639331,-0.1337825,-0.06417415
Gamepad,31.09999,-0.0001151562,0.001049094,-0.283435,-0.07302187
Gamepad,31.11999,-0.0006856918,0.006047636,-0.08016187,-0.07741094
Gamepad,31.13999,-0.0005686283,0.004781142,-0.1150311,-0.08927903
Gamepad,31.15999,-0.0003370047,0.002745323,-0.2041623,-0.04198521
Gamepad,31.17999,-0.0004087687,0.00324896,0.0221892,-0.04999685
Gamepad,31.19999,-0.0001640916,0.001280576,0.008899927,-0.0181835
Gamepad,31.21999,-0.0004270673,0.003273115,0.007624626,-0.01487541
Gamepad,31.23999,-0.0002333522,0.001753762,0.003115833,-0.005907536
Gamepad,31.25999,-0.000172019,0.001277357,0.001070142,-0.002007246
Gamepad,31.27999,-0.0002669692,0.001959458,0.001693726,-0.003154308
Gamepad,31.29999,-0.0001883507,0.001364633,0.001186132,-0.002193183
Gamepad,31.31999,-0.000402987,0.00287506,0.001026094,-0.001886606
Gamepad,31.33999,-0.0003384352,0.00236851,0.0002388358,-0.0004377961
Gamepad,31.35999,-0.000115335,0.0007989556,0,0
Gamepad,31.37999,0,0,0.001231432,-0.002248973
Gamepad,31.43999,-0.000297904,0.002040148,0.0009340048,-0.001696885
Gamepad,31.45999,0,0,0.0003836155,-0.0006946027
Gamepad,31.49999,0,0,0.0007798672,-0.001407981
Gamepad,31.53999,0,0,0.0003842711,-0.0006917417
Gamepad,31.55999,-0.0001176,0.0007978231,0,0
Gamepad,31.73999,0,0,0.119475,-0.03161535
Gamepad,31.75999,0,0,0.7545461,0.5175031
Gamepad,32.15999,0,0,-0.02290918,-0.0079233
Gamepad,32.17999,0,0,-0.3780624,-0.2944165
Gamepad,32.19999,0,0,-0.2845649,-0.07383651
Gamepad,32.21999,0,0,-0.09233713,-0.2522445
Gamepad,32.23999,-0.0003387928,0.002273709,-0.007125676,0.008924186
Gamepad,32.25999,-0.0005924106,0.003892392,-0.00553745,0.007081926
Gamepad,32.27999,-0.0001641512,0.001060292,-0.002102971,0.002724409
Gamepad,32.29999,-0.0004475117,0.002854303,-0.001799107,0.002346158
Gamepad,32.31999,0,0,-0.0006116033,0.0008009076
Gamepad,32.33999,0,0,-0.0005077124,0.0006659031
Gamepad,32.35999,0,0,-0.0006392598,0.0008404255
Gamepad,32.37999,0,0,0.0003479719,-0.0004575849
Gamepad,32.45999,0,0,0.19607,-0.0170297
Gamepad,32.47999,0,0,0.3551275,0.3689925
Gamepad,32.49999,0,0,0.0363097,0.04486521
Gamepad,32.51999,0,0,0.07649665,0.07773259
Gamepad,32.53999,0,0,0.1019709,0.10023
Gamepad,32.55999,0,0,0.02907931,0.02987751
Gamepad,32.57999,0,0,0.0007955265,0.0008263858
Gamepad,32.65999,-0.0003656149,0.002292484,0,0
Gamepad,33.11999,-0.0001847148,0.001145214,0,0
Gamepad,33.13999,-0.0007952452,0.00483799,0,0
Gamepad,33.15999,-0.07854313,0.2547588,0,0
Gamepad,33.17999,-0.2130018,0.2998198,0,0
Gamepad,33.19999,-0.5361267,0.2681391,0,0
Gamepad,33.21999,-0.08108525,0.009655416,0,0
Gamepad,33.23999,-0.07346634,0.003006995,0,0
Gamepad,33.25999,-0.09182543,-0.003843665,0,0
Gamepad,33.27999,-0.05543082,-0.006442487,-0.08460888,-0.2974679
Gamepad,33.29999,-0.02932312,-0.004685938,-0.2517113,-0.342596
Gamepad,33.31999,-0.1169466,-0.02780831,-0.08121902,-0.2685949
Gamepad,33.33999,-0.02281585,-0.007196724,-0.01420072,0.006660759
Gamepad,33.35999,-0.07341701,-0.02735811,-0.03226924,0.0161677
Gamepad,33.37999,-0.01401693,-0.005984247,-0.004406363,0.002322078
Gamepad,33.39999,-0.04196566,-0.019463,-0.008477807,0.004547179
Gamepad,33.41999,-0.05950767,-0.03182757,-0.004240096,0.002313733
Gamepad,33.43999,-0.05603558,-0.03496915,-0.001109868,0.0006100535
Gamepad,33.45999,-0.06933224,-0.05097604,-0.00216943,0.001197815
Gamepad,33.47999,-0.1868378,-0.1976187,0.000574857,-0.0003180504
Gamepad,33.49999,-0.08410281,-0.1406447,-0.002288848,0.001269221
Gamepad,33.51999,-0.07215637,-0.1963924,0,0
Gamepad,33.53999,-0.02905685,-0.2970016,-0.005188167,0.002906322
Gamepad,33.55999,0.00624454,-0.07090577,-0.005136371,0.002917469
Gamepad,33.57999,0.01064688,-0.06707978,-0.005421937,0.003123462
Gamepad,33.59999,0.0599857,-0.1975582,-0.02147311,0.01282096
Gamepad,33.61999,0.0164485,-0.03698686,-0.0210101,0.01326615
Gamepad,33.63999,0.01911539,-0.03856158,-0.02197123,0.01467383
Gamepad,33.65999,0.02371615,-0.04278046,-0.02224582,0.01573646
Gamepad,33.67999,0.0422194,-0.06589848,-0.001252472,0.05354452
Gamepad,33.69999,0.9679294,0.88835,0.002644062,0.03603524
Gamepad,33.71999,-0.1470205,-0.3159415,0.006307423,0.01834083
Gamepad,33.73999,-0.0006498643,-0.0004160894,0.06408364,0.07764035
Gamepad,33.75999,0,0,0.1012154,0.2819369
Gamepad,33.77999,0,0,0.3723637,0.3071882
Gamepad,33.79999,0,0,0.04321168,0.03375774
Gamepad,34.11999,-0.2326356,-0.03180373,0,0
Gamepad,34.13999,-0.09801985,-0.08317991,0,0
Gamepad,34.15999,-0.08830109,-0.222443,0,0
Gamepad,34.17999,-0.1001773,-0.2876424,0,0
Gamepad,34.19999,-0.001271188,-0.2288505,0,0
Gamepad,34.21999,0.00680697,-0.00411135,0,0
Gamepad,34.23999,0.004790723,-0.00284946,0,0
Gamepad,34.25999,0.06140634,-0.03345305,0,0
Gamepad,34.27999,0.01042426,-0.00513941,0,0
Gamepad,34.29999,0.03260654,-0.01512259,0,0
Gamepad,34.31999,0.02615815,-0.01112354,0,0
Gamepad,34.33999,0.0381667,-0.01469004,0,0
Gamepad,34.35999,0.02415639,-0.008387208,0,0
Gamepad,34.37999,0.04594296,-0.01407927,0,0
Gamepad,34.39999,0.01720738,-0.004659116,0,0
Gamepad,34.41999,0.04658292,-0.01098454,0,0
Gamepad,34.43999,0.03721485,-0.007107019,0,0
Gamepad,34.45999,0.05133739,-0.007434547,0,0
Gamepad,34.47999,0.06599006,-0.005606413,0,0
Gamepad,34.49999,0.05492454,-0.001327395,0,0
Gamepad,34.51999,0.06254082,0.002165139,0,0
Gamepad,34.53999,0.02446185,0.001916051,0,0
Gamepad,34.55999,0.008550979,0.0008124113,0,0
Gamepad,34.57999,-0.01489229,-0.001367152,0,0
Gamepad,34.59999,-0.09635057,0.5911323,0,0
Gamepad,34.61999,0.001932186,0.3970411,0,0
Gamepad,34.63999,-0.08408224,0.1115661,0,0
Gamepad,34.65999,-0.1471949,0.8670738,0,0
Gamepad,34.67999,-0.009854093,-0.002508044,0,0
Gamepad,34.69999,0.0291543,0.007113099,0,0
Gamepad,34.71999,0.04212038,0.008660853,0,0
Gamepad,34.73999,0.3024152,0.008905053,0,0
Gamepad,34.75999,0.02535309,-0.003449082,0,0
Gamepad,34.77999,0.04331842,-0.007435143,0,0
Gamepad,34.79999,0.04794562,-0.01054597,0,0
Gamepad,34.81999,0.2167039,-0.08081639,0,0
Gamepad,34.83999,0.1610755,-0.102922,0,0
Gamepad,34.85999,0.0599218,-0.05084187,0,0
Gamepad,34.87999,0.02269304,-0.02150559,0,0
Gamepad,34.89999,0.05498409,-0.05825013,0,0
Gamepad,34.91999,0.03320962,-0.04020286,0,0
Gamepad,34.93999,0.01825017,-0.02404404,0,0
Gamepad,34.95999,0.01643008,-0.02301306,0,0
Gamepad,34.97999,0.03702998,-0.0575617,0,0
Gamepad,34.99999,0.04358715,-0.08148006,0,0
Gamepad,35.01999,0.01955616,-0.04366684,0,0
Gamepad,35.03999,0.00721693,-0.01767814,0,0
Gamepad,35.05999,0.01338059,-0.03565654,0,0
Gamepad,35.07999,-1.193954,-0.4395835,0,0
Gamepad,35.09999,0.2511847,0.1061366,0,0
Gamepad,35.29999,-0.2573289,0.1259553,0,0
Gamepad,35.31999,-0.0785898,0.1134056,0,0
Gamepad,35.33999,-0.02882794,0.03807864,0,0
Gamepad,35.35999,-0.08485848,0.2774579,0,0
Gamepad,35.37999,-0.05506861,0.05824959,0,0
Gamepad,35.39999,0.06787014,0.06406546,0,0
Gamepad,35.41999,0.5616018,0.01079118,0,0
Gamepad,35.43999,0.2869621,-0.03413415,0,0
Gamepad,35.45999,0.05250952,-0.04792625,0,0
Gamepad,35.47999,0.3347206,-0.04474419,0,0
Gamepad,35.49999,0.04034132,-0.01757962,0,0
Gamepad,35.51999,0.06288725,-0.1123413,0,0
Gamepad,35.53999,0.01454628,-0.03185189,0,0
Gamepad,35.55999,0.01137406,-0.02719334,0,0
Gamepad,35.57999,0.01641899,-0.04388961,0,0
Gamepad,35.59999,0.01023906,-0.03108639,0,0
Gamepad,35.61999,0.002397418,-0.007812649,0,0
Gamepad,35.63999,0.00537461,-0.01840907,0,0
Gamepad,35.65999,-0.0002763867,0.0009795129,0,0
Gamepad,35.67999,-0.930089,-0.1073796,0,0
Gamepad,35.69999,-0.03220411,-0.1646352,0,0
Gamepad,35.77999,-0.03846608,0.1899019,0,0
Gamepad,35.79999,-0.277354,0.1671752,0,0
Gamepad,35.81999,-0.04302198,0.04116863,0,0
Gamepad,35.83999,-0.2485262,0.09249628,0,0
Gamepad,35.85999,-0.05626464,0.07499662,0,0
Gamepad,35.87999,-0.02539694,0.02961445,0,0
Gamepad,35.89999,-0.007485628,0.03171521,0,0
Gamepad,35.91999,0.3639921,-0.04613054,0,0
Gamepad,35.93999,0.02488673,-0.03547156,0,0
Gamepad,35.95999,0.3076367,-0.5454662,0,0
Gamepad,36.01999,0,0,0.06380321,-0.01094585
Gamepad,36.03999,0,0,0.07679944,-0.005637774
Gamepad,36.05999,0,0,0.1462521,-0.003548477
Gamepad,36.07999,0,0,0.0861752,-0.001777597
Gamepad,36.09999,0,0,0.03830832,0.001043398
Gamepad,36.11999,0,0,0.01502001,-0.0002037827
Gamepad,36.13999,0,0,0.08157268,0.01452054
Gamepad,36.15999,0,0,0.06465435,0.012049
Gamepad,36.17999,0,0,0.03537929,0.005107437
Gamepad,36.19999,0,0,0.03571987,0.003498711
Gamepad,36.21999,0,0,0.04395801,0.003224929
Gamepad,36.23999,0,0,0.03314668,0.0001487192
Gamepad,36.25999,0.02954373,0.03942973,0.05635583,0.003659487
Gamepad,36.27999,0.02692594,0.04230562,0.03547293,0.0001554675
Gamepad,36.29999,0.03181349,0.05083863,0.03081995,0.0001261234
Gamepad,36.31999,0.07623917,0.1130053,0.04116619,0.002102332
Gamepad,36.33999,0.05092983,0.06737439,0.02841687,0.0001103226
Gamepad,36.35999,0.09918286,0.0965097,0.06076378,0.000217298
Gamepad,36.37999,0.01871595,0.01494268,0.0114814,3.846176E-05
Gamepad,36.39999,0.04444668,0.02990144,0.0144189,0.001207739
