ControlScheme,Time,MoveDeltaX,MoveDeltaY,AimDeltaX,AimDeltaY
Keyboard&Mouse,75.01997,0,0,-1,1
Keyboard&Mouse,75.03997,0,0,1,-1
Keyboard&Mouse,75.09998,0,0,-1,1
Keyboard&Mouse,75.19997,0,0,0,-1
Keyboard&Mouse,75.21997,0,0,1,0
Keyboard&Mouse,75.23997,0,0,-2,1
Keyboard&Mouse,75.25997,0,0,-2,-1
Keyboard&Mouse,75.27998,0,0,1,1
Keyboard&Mouse,75.29997,0,0,2,-1
Keyboard&Mouse,75.33997,0,0,-2,0
Keyboard&Mouse,75.35997,0,0,-2,0
Keyboard&Mouse,75.37997,0,0,2,0
Keyboard&Mouse,75.39997,0,0,1,0
Keyboard&Mouse,75.43997,0,0,-3,0
Keyboard&Mouse,75.45998,0,0,1,0
Keyboard&Mouse,75.47997,0,0,1,-1
Keyboard&Mouse,75.49997,0,0,0,1
Keyboard&Mouse,75.51997,0,0,1,0
Keyboard&Mouse,75.55997,0,0,-1,0
Keyboard&Mouse,75.59998,0,0,-1,0
Keyboard&Mouse,75.61997,0,0,1,-1
Keyboard&Mouse,75.63998,0,0,0,1
Keyboard&Mouse,75.65997,0,0,-1,0
Keyboard&Mouse,75.67997,0,0,-1,0
Keyboard&Mouse,75.69997,0,0,3,0
Keyboard&Mouse,75.75997,0,0,1,0
Keyboard&Mouse,75.77998,0,0,-2,-1
Keyboard&Mouse,75.79997,0,0,2,1
Keyboard&Mouse,75.81998,0,0,-2,-1
Keyboard&Mouse,75.83997,0,0,2,1
Keyboard&Mouse,75.85997,0,0,-1,0
Keyboard&Mouse,75.87997,0,0,1,0
Keyboard&Mouse,75.91998,0,0,0,-1
Keyboard&Mouse,75.93997,0,0,0,1
Keyboard&Mouse,75.95998,0,0,0,-1
Keyboard&Mouse,75.97997,0,0,-1,0
Keyboard&Mouse,75.99997,0,0,2,0
Keyboard&Mouse,76.01997,0,0,-1,1
Keyboard&Mouse,76.03997,0,0,1,-2
Keyboard&Mouse,76.09998,0,0,1,0
Keyboard&Mouse,76.11997,0,0,-1,0
Keyboard&Mouse,76.13998,0,0,1,0
Keyboard&Mouse,76.15997,0,0,0,1
Keyboard&Mouse,76.17997,0,0,0,1
Keyboard&Mouse,76.19997,0,0,-1,0
Keyboard&Mouse,76.21997,0,0,1,0
Keyboard&Mouse,76.23997,0,0,-1,0
Keyboard&Mouse,76.27998,0,0,1,0
Keyboard&Mouse,76.33997,0,0,0,-1
Keyboard&Mouse,76.35997,0,0,-1,1
Keyboard&Mouse,76.39997,0,0,2,0
Keyboard&Mouse,76.41998,0,0,1,-1
Keyboard&Mouse,76.43997,0,0,-1,1
Keyboard&Mouse,76.45998,0,0,-1,0
Keyboard&Mouse,76.47997,0,0,1,0
Keyboard&Mouse,76.51997,0,0,-1,0
Keyboard&Mouse,76.53997,0,0,2,0
Keyboard&Mouse,76.57997,0,0,-1,0
Keyboard&Mouse,76.65997,0,0,0,1
Keyboard&Mouse,76.67997,0,0,0,-1
Keyboard&Mouse,76.69997,0,0,-1,1
Keyboard&Mouse,76.71997,0,0,0,-1
Keyboard&Mouse,76.75997,0,0,-1,0
Keyboard&Mouse,76.81997,0,0,1,1
Keyboard&Mouse,76.83997,0,0,-1,-1
Keyboard&Mouse,76.85997,0,0,0,2
Keyboard&Mouse,76.91998,0,0,0,2
Keyboard&Mouse,76.93997,0,0,0,-2
Keyboard&Mouse,76.95998,0,0,0,1
Keyboard&Mouse,76.97997,0,0,0,-1
Keyboard&Mouse,77.01997,0,0,0,-1
Keyboard&Mouse,77.03997,0,0,0,1
Keyboard&Mouse,77.05997,0,0,1,1
Keyboard&Mouse,77.07997,0,0,1,1
Keyboard&Mouse,77.09998,0,0,-1,0
Keyboard&Mouse,77.11997,0,0,0,2
Keyboard&Mouse,77.13997,0,0,-1,-1
Keyboard&Mouse,77.15997,0,0,1,2
Keyboard&Mouse,77.17997,0,0,-1,0
Keyboard&Mouse,77.19997,0,0,-2,8
Keyboard&Mouse,77.21997,0,0,1,-9
Keyboard&Mouse,77.23997,0,0,0,-1
Keyboard&Mouse,77.25997,0,0,1,0
Keyboard&Mouse,77.27998,0,0,-1,0
Keyboard&Mouse,77.29997,0,0,1,1
Keyboard&Mouse,77.31997,0,0,2,13
Keyboard&Mouse,77.33997,0,0,-2,-14
Keyboard&Mouse,77.35997,0,0,-1,1
Keyboard&Mouse,77.37997,0,0,1,0
Keyboard&Mouse,77.39997,0,0,0,-2
Keyboard&Mouse,77.41998,0,0,0,1
Keyboard&Mouse,77.43997,0,0,0,-1
Keyboard&Mouse,77.45998,0,0,1,-1
Keyboard&Mouse,77.47997,0,0,0,-2
Keyboard&Mouse,77.49997,0,0,1,1
Keyboard&Mouse,77.51997,0,0,-1,1
Keyboard&Mouse,77.53997,0,0,0,-1
Keyboard&Mouse,77.55997,0,0,2,2
Keyboard&Mouse,77.57997,0,0,4,3
Keyboard&Mouse,77.59998,0,0,0,-1
Keyboard&Mouse,77.61997,0,0,0,-1
Keyboard&Mouse,77.63997,0,0,-3,-1
Keyboard&Mouse,77.65997,0,0,-3,-2
Keyboard&Mouse,77.67997,0,0,-1,-2
Keyboard&Mouse,77.79997,0,0,-3,0
Keyboard&Mouse,77.81997,0,0,1,0
Keyboard&Mouse,78.07997,0,0,-27,13
Keyboard&Mouse,78.09998,0,0,29,-13
Keyboard&Mouse,78.13997,0,0,-1,0
Keyboard&Mouse,78.15997,0,0,1,0
