ControlScheme,Time,MoveDeltaX,MoveDeltaY,AimDeltaX,AimDeltaY
Keyboard&Mouse,60.61998,0,0,-1,0
Keyboard&Mouse,60.65998,0,0,-1,-1
Keyboard&Mouse,60.67998,0,0,-3,0
Keyboard&Mouse,60.69998,0,0,0,-1
Keyboard&Mouse,60.71998,0,0,2,1
Keyboard&Mouse,60.73998,0,0,1,1
Keyboard&Mouse,60.75998,0,0,1,0
Keyboard&Mouse,60.77998,-0.707107,-0.292893,-2,0
Keyboard&Mouse,60.79998,0,0,-9,0
Keyboard&Mouse,60.83998,0,0,-8,-4
Keyboard&Mouse,60.85998,0,0,0,-2
Keyboard&Mouse,60.87998,0,0,7,3
Keyboard&Mouse,60.89998,0,0,7,2
Keyboard&Mouse,60.91998,0,0,3,0
Keyboard&Mouse,60.93998,0,0,-2,1
Keyboard&Mouse,60.95998,0,0,-4,-1
Keyboard&Mouse,60.97998,0,0,-1,0
Keyboard&Mouse,60.99998,0,0,-1,0
Keyboard&Mouse,61.01998,0,0,8,0
Keyboard&Mouse,61.03998,0,0,2,1
Keyboard&Mouse,61.05998,0,0,0,-1
Keyboard&Mouse,61.07998,0,0,1,1
Keyboard&Mouse,61.11998,0.707107,0.292893,-1,0
Keyboard&Mouse,61.13998,0,0,1,0
Keyboard&Mouse,61.33998,0,0,-1,0
Keyboard&Mouse,61.37998,0,0,-5,0
Keyboard&Mouse,61.39998,0,0,1,0
Keyboard&Mouse,61.41998,-0.707107,-0.292893,-3,0
Keyboard&Mouse,61.43998,0,0,-4,1
Keyboard&Mouse,61.47998,0,0,-8,0
Keyboard&Mouse,61.49998,0,0,17,0
Keyboard&Mouse,61.51998,0,0,2,-1
Keyboard&Mouse,61.53998,0,0,-1,0
Keyboard&Mouse,61.55998,0,0,-1,0
Keyboard&Mouse,61.57998,0,0,1,0
Keyboard&Mouse,61.59998,0,0,-1,0
Keyboard&Mouse,61.61998,0,0,1,0
Keyboard&Mouse,61.63998,0,0,-1,0
Keyboard&Mouse,61.65998,0,0,-1,0
Keyboard&Mouse,61.67998,0,0,3,0
Keyboard&Mouse,61.69998,0,0,-2,0
Keyboard&Mouse,61.71998,0,0,-1,1
Keyboard&Mouse,61.73998,0,0,0,-1
Keyboard&Mouse,61.75998,0,0,2,0
Keyboard&Mouse,61.77998,0,0,1,0
Keyboard&Mouse,61.79998,0,0,1,1
Keyboard&Mouse,61.81998,0,0,0,-1
Keyboard&Mouse,61.83998,0,0,-1,0
Keyboard&Mouse,61.85998,0,0,1,0
Keyboard&Mouse,61.87998,0.707107,0.292893,0,0
Keyboard&Mouse,62.09998,-0.707107,-0.292893,0,0
Keyboard&Mouse,62.29998,0.707107,0.292893,0,0
Keyboard&Mouse,62.39998,0.707107,-0.292893,0,0
Keyboard&Mouse,62.47998,-0.707107,0.292893,0,0
Keyboard&Mouse,62.95998,0,0,1,0
Keyboard&Mouse,62.97998,0,0,-1,0
Keyboard&Mouse,62.99998,0,0,1,0
Keyboard&Mouse,63.03998,-0.707107,-0.292893,0,0
Keyboard&Mouse,63.09998,0,0,0,1
Keyboard&Mouse,63.11998,0,0,0,-1
Keyboard&Mouse,63.17998,0,0,-1,1
Keyboard&Mouse,63.19998,0,0,0,-1
Keyboard&Mouse,63.31998,0,0,1,0
Keyboard&Mouse,63.33998,0,0,-1,0
Keyboard&Mouse,63.35998,0,0,1,0
Keyboard&Mouse,63.37998,0,0,-1,0
Keyboard&Mouse,63.55998,0,0,1,0
Keyboard&Mouse,63.59998,0,0,1,0
Keyboard&Mouse,63.61998,0,0,0,1
Keyboard&Mouse,63.63998,0.707107,0.292893,1,-1
Keyboard&Mouse,63.65998,0,0,-1,0
Keyboard&Mouse,63.67998,0,0,2,0
Keyboard&Mouse,63.71998,0,0,1,0
Keyboard&Mouse,63.73998,0,0,-1,0
Keyboard&Mouse,63.75998,0,0,-3,0
Keyboard&Mouse,63.79998,0,0,2,0
Keyboard&Mouse,63.81998,0,0,1,1
Keyboard&Mouse,63.83998,0,0,-2,-1
Keyboard&Mouse,63.87998,0,0,-1,0
Keyboard&Mouse,63.89998,0,0,1,0
Keyboard&Mouse,63.91998,0,0,1,1
Keyboard&Mouse,63.95998,0,0,1,-1
Keyboard&Mouse,63.97998,0.707107,-0.292893,2,1
Keyboard&Mouse,63.99998,0,0,-4,-1
Keyboard&Mouse,64.01997,0,0,2,0
Keyboard&Mouse,64.03998,0,0,0,1
Keyboard&Mouse,64.05997,0,0,0,-1
Keyboard&Mouse,64.11998,0,0,-3,0
Keyboard&Mouse,64.15998,0,0,3,1
Keyboard&Mouse,64.17998,0,0,-1,-1
Keyboard&Mouse,64.19997,0,0,0,1
Keyboard&Mouse,64.21998,0,0,-3,-1
Keyboard&Mouse,64.23997,0,0,0,1
Keyboard&Mouse,64.27998,0,0,0,-1
Keyboard&Mouse,64.29998,-0.707107,0.292893,0,0
Keyboard&Mouse,64.33997,0,0,1,0
Keyboard&Mouse,64.35998,0,0,-1,0
Keyboard&Mouse,64.53998,0,0,1,0
Keyboard&Mouse,64.55997,0,0,-1,0
Keyboard&Mouse,64.57998,0,0,2,0
Keyboard&Mouse,64.61998,0,0,1,0
Keyboard&Mouse,64.63998,0,0,-2,0
Keyboard&Mouse,64.65998,0,0,-1,0
Keyboard&Mouse,64.77998,0,0,4,-1
Keyboard&Mouse,64.79998,0,0,-2,0
Keyboard&Mouse,64.81998,0,0,-2,1
Keyboard&Mouse,64.99998,-0.707107,-0.292893,-1,0
Keyboard&Mouse,65.01997,0,0,-1,0
Keyboard&Mouse,65.05997,0,0,2,0
Keyboard&Mouse,65.07998,0,0,-2,1
Keyboard&Mouse,65.09998,0,0,1,-1
Keyboard&Mouse,65.11998,0,0,-1,1
Keyboard&Mouse,65.13998,0.707107,0.292893,1,-1
Keyboard&Mouse,65.15997,0,0,1,0
Keyboard&Mouse,65.19997,0,0,-1,0
Keyboard&Mouse,65.21998,0,0,-1,0
Keyboard&Mouse,65.23997,0,0,1,0
Keyboard&Mouse,65.29998,-0.707107,-0.292893,0,0
Keyboard&Mouse,65.31998,0,0,-2,-1
Keyboard&Mouse,65.33997,0,0,-1,0
Keyboard&Mouse,65.35998,0,0,-1,0
Keyboard&Mouse,65.37997,0,0,1,0
Keyboard&Mouse,65.39998,0,0,4,1
Keyboard&Mouse,65.47998,0.707107,0.292893,0,0
Keyboard&Mouse,66.05997,0,0,0,-1
Keyboard&Mouse,66.07998,0,0,0,1
Keyboard&Mouse,66.13998,0,0,0,-1
Keyboard&Mouse,66.15997,0,0,0,1
Keyboard&Mouse,66.21998,0,0,0,-1
Keyboard&Mouse,66.23997,0,0,0,1
Keyboard&Mouse,66.39998,0,0,0,-1
Keyboard&Mouse,66.41998,0,0,-1,1
Keyboard&Mouse,66.43998,0,0,1,-1
Keyboard&Mouse,66.45998,0,0,-2,-1
Keyboard&Mouse,66.47997,0,0,0,1
Keyboard&Mouse,66.49998,0,0,1,0
Keyboard&Mouse,66.53998,0,0,1,1
Keyboard&Mouse,66.61998,0,0,-1,-1
Keyboard&Mouse,66.63998,0,0,0,1
Keyboard&Mouse,66.65997,0,0,0,-1
Keyboard&Mouse,66.67998,0,0,1,1
Keyboard&Mouse,66.69997,0,0,-1,-1
Keyboard&Mouse,66.71998,0,0,1,1
Keyboard&Mouse,66.75998,0,0,-1,0
Keyboard&Mouse,66.77998,0,0,-1,-1
Keyboard&Mouse,66.79997,0,0,2,1
Keyboard&Mouse,66.87997,0,0,-1,-1
Keyboard&Mouse,66.89998,0,0,1,1
Keyboard&Mouse,66.91998,0,0,-1,0
Keyboard&Mouse,66.93998,0,0,1,0
Keyboard&Mouse,66.95998,0,0,-1,0
Keyboard&Mouse,66.99998,0,0,0,-1
Keyboard&Mouse,67.01997,0,0,0,1
Keyboard&Mouse,67.03998,0,0,-1,0
Keyboard&Mouse,67.05997,0,0,0,-1
Keyboard&Mouse,67.07998,0,0,-1,0
Keyboard&Mouse,67.09998,0,0,1,0
Keyboard&Mouse,67.11998,0,0,1,1
Keyboard&Mouse,67.17998,0,0,1,0
Keyboard&Mouse,67.21998,0,0,-2,0
Keyboard&Mouse,67.23997,0,0,-2,-1
Keyboard&Mouse,67.27998,0,0,2,1
Keyboard&Mouse,67.29997,0,0,2,0
Keyboard&Mouse,67.31998,0,0,-2,-1
Keyboard&Mouse,67.33997,0,0,0,1
Keyboard&Mouse,67.35998,0,0,1,0
Keyboard&Mouse,67.39998,0,0,-3,-1
Keyboard&Mouse,67.41998,0,0,1,1
Keyboard&Mouse,67.43998,0,0,-1,0
Keyboard&Mouse,67.47997,0,0,-3,-2
Keyboard&Mouse,67.49998,0,0,-6,0
Keyboard&Mouse,67.51997,0,0,-6,1
Keyboard&Mouse,67.53998,0,0,-4,0
Keyboard&Mouse,67.55997,0,0,7,0
Keyboard&Mouse,67.57998,0,0,10,1
Keyboard&Mouse,67.59998,0,0,6,0
Keyboard&Mouse,68.17998,0,0,-2,0
Keyboard&Mouse,68.19997,0,0,0,-1
Keyboard&Mouse,68.21998,0,0,1,0
Keyboard&Mouse,68.23997,0,0,1,1
Keyboard&Mouse,68.27998,0,0,-1,-1
Keyboard&Mouse,68.29997,0,0,-3,0
Keyboard&Mouse,68.31998,0,0,1,0
Keyboard&Mouse,68.33997,0,0,1,1
Keyboard&Mouse,68.37997,0,0,1,0
Keyboard&Mouse,68.39998,0,0,0,-1
Keyboard&Mouse,68.41998,0,0,-1,1
Keyboard&Mouse,68.43998,0,0,-1,-1
Keyboard&Mouse,68.45998,0,0,-2,0
Keyboard&Mouse,68.47997,0,0,5,1
Keyboard&Mouse,68.53998,0,0,-3,-1
Keyboard&Mouse,68.55997,0,-1,1,0
Keyboard&Mouse,68.59998,0,0,1,1
Keyboard&Mouse,68.61997,0,0,1,0
Keyboard&Mouse,68.67998,0,0,-2,-1
Keyboard&Mouse,68.69997,0,0,1,1
Keyboard&Mouse,68.73997,0,0,1,0
Keyboard&Mouse,68.75998,0,0,-2,-1
Keyboard&Mouse,68.77998,0,0,-1,0
Keyboard&Mouse,68.79997,0,0,2,1
Keyboard&Mouse,68.83997,0,0,0,-1
Keyboard&Mouse,68.89998,0,0,0,1
Keyboard&Mouse,68.93997,0,0,-1,0
Keyboard&Mouse,68.97997,0,0,1,-1
Keyboard&Mouse,68.99998,0,1,0,1
Keyboard&Mouse,69.01997,0,0,1,0
Keyboard&Mouse,69.03998,0,0,-1,0
Keyboard&Mouse,69.05997,0,0,-1,-1
Keyboard&Mouse,69.07998,0,0,0,1
Keyboard&Mouse,69.09998,0,0,2,0
Keyboard&Mouse,69.13998,0,0,-2,0
Keyboard&Mouse,69.15997,0,0,-1,-1
Keyboard&Mouse,69.17998,0,-1,0,0
Keyboard&Mouse,69.19997,0,0,-1,0
Keyboard&Mouse,69.21998,0,0,-2,-2
Keyboard&Mouse,69.23997,0,0,-1,1
Keyboard&Mouse,69.25998,-1,0,-2,-1
Keyboard&Mouse,69.27998,0,0,4,1
Keyboard&Mouse,69.29997,0,0,3,1
Keyboard&Mouse,69.31998,0,0,1,1
Keyboard&Mouse,69.33997,0,0,1,-1
Keyboard&Mouse,69.35998,0,0,0,1
Keyboard&Mouse,69.61997,1,0,0,0
Keyboard&Mouse,69.71998,0,1,0,0
Keyboard&Mouse,69.95998,-0.707107,-0.292893,0,0
Keyboard&Mouse,69.99998,-0.292893,-0.707107,1,1
Keyboard&Mouse,70.01997,0,0,-1,-1
Keyboard&Mouse,70.25997,0,0,1,1
Keyboard&Mouse,70.27998,1,0,0,0
Keyboard&Mouse,70.31998,0,0,-1,-1
Keyboard&Mouse,70.37997,0,0,2,1
Keyboard&Mouse,70.39998,0,0,-1,0
Keyboard&Mouse,70.41998,0,0,1,0
Keyboard&Mouse,70.43997,0,0,2,0
Keyboard&Mouse,70.45998,0,0,0,1
Keyboard&Mouse,70.47997,0,0,-1,-1
Keyboard&Mouse,70.49998,0,0,0,1
Keyboard&Mouse,70.53998,0,0,0,-1
Keyboard&Mouse,70.55997,0,0,-1,0
Keyboard&Mouse,70.59998,0,0,5,2
Keyboard&Mouse,70.61997,0,0,0,-1
Keyboard&Mouse,70.63998,0,0,-5,-2
Keyboard&Mouse,70.65997,0,0,-2,1
Keyboard&Mouse,70.67998,0,0,2,0
Keyboard&Mouse,70.69997,0,0,-1,0
Keyboard&Mouse,70.71998,0,0,0,-1
Keyboard&Mouse,70.73997,0,1,1,0
Keyboard&Mouse,70.75997,0,0,-2,0
Keyboard&Mouse,70.79997,0,0,1,0
Keyboard&Mouse,70.81998,0,0,-1,0
Keyboard&Mouse,70.85998,0,0,0,1
Keyboard&Mouse,70.89998,0,0,1,-1
Keyboard&Mouse,70.91998,0,-1,0,2
Keyboard&Mouse,70.93997,-1,0,-1,-1
Keyboard&Mouse,70.95998,0,0,1,1
Keyboard&Mouse,70.97997,0,0,0,-1
Keyboard&Mouse,71.01997,1,1,0,0
Keyboard&Mouse,71.07997,0,0,-1,0
Keyboard&Mouse,71.09998,0,0,1,-1
Keyboard&Mouse,71.11997,0,0,-1,0
Keyboard&Mouse,71.15997,0,-1,0,0
Keyboard&Mouse,71.23997,0,0,2,0
Keyboard&Mouse,71.25997,0,0,-2,0
Keyboard&Mouse,71.75997,1,0,0,0
Keyboard&Mouse,72.41998,0,0,-2,0
Keyboard&Mouse,72.43997,0,0,1,0
Keyboard&Mouse,72.47997,0,0,-1,0
Keyboard&Mouse,72.49998,0,0,-1,-1
Keyboard&Mouse,72.51997,0,0,1,0
Keyboard&Mouse,72.53998,0,0,1,1
Keyboard&Mouse,72.55997,0,0,1,0
Keyboard&Mouse,72.85998,0,0,0,-1
Keyboard&Mouse,72.87997,0,0,4,-4
Keyboard&Mouse,72.89997,0,0,0,1
Keyboard&Mouse,72.91998,0,0,-3,3
Keyboard&Mouse,72.95998,0,0,-1,0
Keyboard&Mouse,72.99998,0,0,0,-1
Keyboard&Mouse,73.01997,0,0,0,1
Keyboard&Mouse,73.03997,0,0,0,1
Keyboard&Mouse,73.09998,0,0,0,-1
Keyboard&Mouse,73.11997,0,0,2,-2
Keyboard&Mouse,73.13998,0,0,0,1
Keyboard&Mouse,73.15997,0,0,-1,2
Keyboard&Mouse,73.17998,0,0,-1,0
Keyboard&Mouse,73.21997,0,0,1,0
Keyboard&Mouse,73.27998,0,0,-1,0
Keyboard&Mouse,73.31998,0,0,1,0
Keyboard&Mouse,73.33997,0,0,0,1
Keyboard&Mouse,73.35998,0,0,0,-1
Keyboard&Mouse,73.39997,0,0,2,1
Keyboard&Mouse,73.41998,0,0,-1,0
Keyboard&Mouse,73.45998,0,0,1,0
Keyboard&Mouse,73.47997,0,0,-1,0
Keyboard&Mouse,73.49998,0,0,-2,0
Keyboard&Mouse,73.51997,0,0,0,-1
Keyboard&Mouse,73.83997,0,0,-2,0
Keyboard&Mouse,73.85997,0,0,0,2
Keyboard&Mouse,73.87997,-1,0,-2,0
Keyboard&Mouse,73.89997,0,1,3,-1
Keyboard&Mouse,73.91998,0,0,-1,0
Keyboard&Mouse,73.93997,0,0,1,-1
Keyboard&Mouse,73.97997,0,0,-1,0
Keyboard&Mouse,73.99998,0,0,1,0
Keyboard&Mouse,74.01997,0,0,1,0
Keyboard&Mouse,74.03997,0,0,-1,0
Keyboard&Mouse,74.09998,0,0,-1,0
Keyboard&Mouse,74.11997,0,0,1,0
Keyboard&Mouse,74.13998,0,0,1,0
Keyboard&Mouse,74.17998,0,0,-2,0
Keyboard&Mouse,74.19997,0,-1,1,0
Keyboard&Mouse,74.21997,0,0,-1,0
Keyboard&Mouse,74.25997,0,0,1,0
Keyboard&Mouse,74.29997,0,0,1,0
Keyboard&Mouse,74.31998,0,0,-1,0
Keyboard&Mouse,74.33997,0,0,1,0
Keyboard&Mouse,74.51997,0,0,-1,-1
Keyboard&Mouse,74.53997,0,0,1,1
Keyboard&Mouse,74.61997,0,0,-1,0
Keyboard&Mouse,74.63998,0,0,-1,0
Keyboard&Mouse,74.65997,0,0,1,0
Keyboard&Mouse,74.67997,0,0,1,0
Keyboard&Mouse,74.85997,0,0,-1,0
Keyboard&Mouse,74.87997,0,0,1,0
Keyboard&Mouse,74.89997,0,0,-1,0
Keyboard&Mouse,74.91998,0,0,0,1
Keyboard&Mouse,74.93997,0,0,0,-1
Keyboard&Mouse,74.95998,0,0,1,0
Keyboard&Mouse,74.97997,0,0,-2,1
