ControlScheme,Time,MoveDeltaX,MoveDeltaY,AimDeltaX,AimDeltaY
Keyboard&Mouse,16.49999,0,0,1,0
Keyboard&Mouse,16.51999,0,0,1,-1
Keyboard&Mouse,16.53999,0,0,2,0
Keyboard&Mouse,16.55999,0,0,-2,0
Keyboard&Mouse,16.57999,0,0,-2,1
Keyboard&Mouse,16.59999,0,0,1,0
Keyboard&Mouse,16.61999,0,0,4,-1
Keyboard&Mouse,16.63999,0,0,1,0
Keyboard&Mouse,16.67999,0,0,-1,0
Keyboard&Mouse,16.69999,0,0,-2,1
Keyboard&Mouse,16.71999,0,0,-2,0
Keyboard&Mouse,16.73999,0,0,-1,0
Keyboard&Mouse,16.75999,0,0,1,0
Keyboard&Mouse,16.77999,0,0,-1,0
Keyboard&Mouse,17.37999,0,0,2,0
Keyboard&Mouse,17.39999,0,0,4,-1
Keyboard&Mouse,17.43999,0,0,4,1
Keyboard&Mouse,17.45999,0,0,-7,-1
Keyboard&Mouse,17.47999,0,0,1,1
Keyboard&Mouse,17.49999,0,0,1,0
Keyboard&Mouse,17.55999,0,0,1,0
Keyboard&Mouse,17.57999,0,0,-1,0
Keyboard&Mouse,17.59999,0,0,9,0
Keyboard&Mouse,17.61999,0,0,4,0
Keyboard&Mouse,17.63999,0,0,-15,0
Keyboard&Mouse,17.65999,0,1,-2,0
Keyboard&Mouse,17.67999,0,0,-1,0
Keyboard&Mouse,17.69999,0,0,1,0
Keyboard&Mouse,17.71999,0,0,-1,0
Keyboard&Mouse,17.77999,0,0,1,0
Keyboard&Mouse,17.79999,0,0,1,0
Keyboard&Mouse,17.85999,0,0,-1,0
Keyboard&Mouse,17.87999,0,0,-1,0
Keyboard&Mouse,17.89999,0,0,2,0
Keyboard&Mouse,17.95999,0,0,1,0
Keyboard&Mouse,17.99999,0,0,1,0
Keyboard&Mouse,18.01999,0,0,2,0
Keyboard&Mouse,18.05999,0,0,-1,0
Keyboard&Mouse,18.07999,0,0,-3,0
Keyboard&Mouse,18.11999,0,0,-1,0
Keyboard&Mouse,18.13999,0,0,-1,0
Keyboard&Mouse,18.23999,0,0,1,1
Keyboard&Mouse,18.27999,0,0,15,-1
Keyboard&Mouse,18.29999,0,0,-1,2
Keyboard&Mouse,18.31999,0.707107,-0.292893,2,0
Keyboard&Mouse,18.35999,0,0,-12,-2
Keyboard&Mouse,18.37999,0,0,-5,0
Keyboard&Mouse,18.57999,-0.707107,0.292893,0,0
Keyboard&Mouse,18.83999,0.707107,-0.292893,0,0
Keyboard&Mouse,18.93999,-0.707107,0.292893,0,0
Keyboard&Mouse,19.35999,0,0,-1,0
Keyboard&Mouse,19.37999,0,0,-1,0
Keyboard&Mouse,19.41999,0,0,-1,-1
Keyboard&Mouse,19.43999,0,0,-1,0
Keyboard&Mouse,19.45999,0,0,-1,-1
Keyboard&Mouse,19.47999,0,0,-1,1
Keyboard&Mouse,19.49999,0,0,-5,0
Keyboard&Mouse,19.53999,0,0,3,-1
Keyboard&Mouse,19.55999,0,0,5,2
