ControlScheme,Time,MoveDeltaX,MoveDeltaY,AimDeltaX,AimDeltaY
Keyboard&Mouse,61.31998,0,1,0,0
Keyboard&Mouse,61.47998,0,-1,0,0
Keyboard&Mouse,62.07998,-1,0,0,0
Keyboard&Mouse,62.21998,1,0,0,0
Keyboard&Mouse,62.61998,0,0,1,0
Keyboard&Mouse,62.63998,0,0,-1,0
Keyboard&Mouse,63.33998,-1,0,0,0
Keyboard&Mouse,63.51998,1,0,1,-1
Keyboard&Mouse,63.53998,0,0,-1,1
Keyboard&Mouse,63.57998,0,0,1,0
Keyboard&Mouse,63.59998,0,0,-1,0
Keyboard&Mouse,63.63998,0,0,2,0
Keyboard&Mouse,63.65998,0,0,-1,0
Keyboard&Mouse,63.67998,0,0,-1,-1
Keyboard&Mouse,63.69998,0,1,1,1
Keyboard&Mouse,63.71998,0,0,-1,0
Keyboard&Mouse,63.75998,0,0,1,0
Keyboard&Mouse,63.79998,0,0,2,0
Keyboard&Mouse,63.81998,0,0,-3,0
Keyboard&Mouse,63.83998,0,0,1,0
Keyboard&Mouse,63.89998,0,0,1,0
Keyboard&Mouse,63.91998,0,0,-2,0
Keyboard&Mouse,63.95998,0,-1,0,0
Keyboard&Mouse,64.25998,0,0,2,0
Keyboard&Mouse,64.27998,0,1,-2,0
Keyboard&Mouse,64.29998,0,0,1,0
Keyboard&Mouse,64.33997,0,0,1,0
Keyboard&Mouse,64.37997,0,0,-1,0
Keyboard&Mouse,64.41998,0,0,1,0
Keyboard&Mouse,64.45998,0,-1,0,0
Keyboard&Mouse,64.47998,0,0,-2,0
Keyboard&Mouse,64.49998,0,0,1,0
Keyboard&Mouse,64.51997,0,0,-1,0
Keyboard&Mouse,64.53998,0,0,1,0
Keyboard&Mouse,64.55997,0,0,4,0
Keyboard&Mouse,64.57998,0,0,1,0
Keyboard&Mouse,64.59998,0,0,-2,0
Keyboard&Mouse,64.61998,0,1,-1,0
Keyboard&Mouse,64.67998,0,0,-1,0
Keyboard&Mouse,64.71998,0,0,5,0
Keyboard&Mouse,64.73997,0,0,-2,0
Keyboard&Mouse,64.75998,0,-1,0,0
Keyboard&Mouse,64.77998,0,0,-3,0
Keyboard&Mouse,64.79998,0,0,-2,0
Keyboard&Mouse,64.83997,0,0,1,1
Keyboard&Mouse,64.85998,0,0,-1,-1
Keyboard&Mouse,64.97998,0,0,0,1
Keyboard&Mouse,65.01997,0,0,0,-1
Keyboard&Mouse,65.35998,-1,0,0,0
Keyboard&Mouse,65.41998,0,0,-1,0
Keyboard&Mouse,65.43998,0,0,1,0
Keyboard&Mouse,65.47998,1,0,0,0
Keyboard&Mouse,65.49998,0,1,0,0
Keyboard&Mouse,65.61998,0,-1,0,0
Keyboard&Mouse,65.87997,0,0,-1,0
Keyboard&Mouse,65.89998,-1,0,1,0
Keyboard&Mouse,66.05997,1,0,0,0
Keyboard&Mouse,66.13998,0,0,-1,0
Keyboard&Mouse,66.15997,0,0,1,0
Keyboard&Mouse,66.27998,0,1,0,0
Keyboard&Mouse,66.33997,0,0,2,-2
Keyboard&Mouse,66.37997,0,0,0,1
Keyboard&Mouse,66.39998,0,-1,0,1
Keyboard&Mouse,66.41998,0,0,-1,0
Keyboard&Mouse,66.43998,0,0,-1,0
Keyboard&Mouse,66.49998,0,0,0,-1
Keyboard&Mouse,66.51997,0,0,0,1
Keyboard&Mouse,67.29997,0,0,1,0
Keyboard&Mouse,67.31998,0,0,-1,0
Keyboard&Mouse,67.37997,0,0,1,0
Keyboard&Mouse,67.39998,0,1,-1,0
Keyboard&Mouse,67.55997,0,-1,0,0
Keyboard&Mouse,67.71998,0,1,0,0
Keyboard&Mouse,67.95998,0,0,0,1
Keyboard&Mouse,67.97997,0,0,0,-1
Keyboard&Mouse,67.99998,0,0,-1,0
Keyboard&Mouse,68.01997,0,-1,1,0
Keyboard&Mouse,68.03998,0,0,0,1
Keyboard&Mouse,68.05997,0,0,-1,-1
Keyboard&Mouse,68.07998,0,0,-2,1
Keyboard&Mouse,68.09998,0,0,-4,1
Keyboard&Mouse,68.11997,0,0,0,-1
Keyboard&Mouse,68.13998,0,0,1,0
Keyboard&Mouse,68.15997,0,0,-7,1
Keyboard&Mouse,68.17998,0,0,10,-1
Keyboard&Mouse,68.19997,0,0,2,-1
Keyboard&Mouse,68.21998,0,0,0,1
Keyboard&Mouse,68.23997,0,0,-2,-1
Keyboard&Mouse,68.25998,0,0,-1,1
Keyboard&Mouse,68.27998,0,0,2,-1
Keyboard&Mouse,68.29997,0,0,-2,0
Keyboard&Mouse,68.31998,0,0,3,0
Keyboard&Mouse,68.33997,0,1,0,0
Keyboard&Mouse,68.35998,0,0,-1,0
Keyboard&Mouse,68.37997,0,0,-1,0
Keyboard&Mouse,68.39998,0,0,2,0
Keyboard&Mouse,68.41998,0,0,1,0
Keyboard&Mouse,68.43998,0,0,-1,0
Keyboard&Mouse,68.45998,0,0,-1,-1
Keyboard&Mouse,68.47997,0,0,2,1
Keyboard&Mouse,68.51997,0,-1,0,0
Keyboard&Mouse,68.77998,0,1,0,0
Keyboard&Mouse,68.91998,0,-1,0,0
Keyboard&Mouse,70.25997,0,1,0,0
Keyboard&Mouse,70.59998,0,0,-1,1
Keyboard&Mouse,70.61997,0,0,0,-1
Keyboard&Mouse,70.63998,0,0,1,0
Keyboard&Mouse,70.73997,0,0,-1,0
Keyboard&Mouse,70.75997,0,0,1,0
Keyboard&Mouse,70.77998,0,0,-1,0
Keyboard&Mouse,70.79997,0,0,1,0
Keyboard&Mouse,70.95998,0,0,-1,0
Keyboard&Mouse,70.97997,0,0,1,0
Keyboard&Mouse,71.05997,0,0,-1,0
Keyboard&Mouse,71.07997,0,0,0,-1
Keyboard&Mouse,71.09998,0,0,1,1
Keyboard&Mouse,71.13998,0,-1,0,0
Keyboard&Mouse,71.19997,-1,0,0,0
Keyboard&Mouse,71.23997,0.292893,0.707107,0,0
Keyboard&Mouse,71.25997,0.707107,0.292893,0,0
Keyboard&Mouse,71.37997,0,0,1,0
Keyboard&Mouse,71.39997,0,0,-1,-1
Keyboard&Mouse,71.41998,0,0,0,1
Keyboard&Mouse,71.43997,0,0,1,-1
Keyboard&Mouse,71.45998,0,-1,0,1
Keyboard&Mouse,71.47997,0,0,-1,0
Keyboard&Mouse,71.49998,0,0,1,0
Keyboard&Mouse,71.51997,0,0,1,0
Keyboard&Mouse,71.53998,0,0,1,0
Keyboard&Mouse,71.55997,0,0,-2,0
Keyboard&Mouse,71.57997,0,0,-1,0
Keyboard&Mouse,71.61997,0,0,1,0
Keyboard&Mouse,71.63998,0,0,0,-1
Keyboard&Mouse,71.65997,0,0,-1,1
Keyboard&Mouse,71.73997,0,0,1,0
Keyboard&Mouse,71.77998,0,0,-1,0
Keyboard&Mouse,71.83997,0,0,4,-1
Keyboard&Mouse,71.85998,0,0,2,-1
Keyboard&Mouse,71.87997,0,0,-5,2
Keyboard&Mouse,71.89997,0,0,1,0
Keyboard&Mouse,71.95998,1,0,0,0
Keyboard&Mouse,71.97997,0,0,-1,0
Keyboard&Mouse,71.99998,0,0,-1,0
Keyboard&Mouse,72.03998,-0.292893,0.707107,0,0
Keyboard&Mouse,72.05997,-0.707107,0.292893,0,0
Keyboard&Mouse,72.19997,-0.707107,-0.292893,0,0
Keyboard&Mouse,72.21997,-0.292893,-0.707107,0,0
Keyboard&Mouse,72.39997,1,0,0,0
Keyboard&Mouse,72.47997,-1,0,0,0
Keyboard&Mouse,72.49998,0,0,-2,-1
Keyboard&Mouse,72.51997,0.292893,-0.707107,-3,0
Keyboard&Mouse,72.53998,0,0,-2,-2
Keyboard&Mouse,72.55997,0,0,3,2
Keyboard&Mouse,72.57997,-0.292893,0.707107,1,0
Keyboard&Mouse,72.59998,0,0,2,1
Keyboard&Mouse,72.61997,0.292893,-0.707107,0,0
Keyboard&Mouse,72.63998,0,0,0,-1
Keyboard&Mouse,72.65997,0,0,1,1
Keyboard&Mouse,72.69997,-0.292893,0.707107,0,0
Keyboard&Mouse,72.95998,0.292893,-0.707107,-1,0
Keyboard&Mouse,72.97997,0,0,1,0
Keyboard&Mouse,73.01997,0,0,-1,-1
Keyboard&Mouse,73.05997,0,0,-1,0
Keyboard&Mouse,73.07997,0,0,0,1
Keyboard&Mouse,73.09998,0,0,1,0
Keyboard&Mouse,73.11997,0.707107,-0.292893,0,-1
Keyboard&Mouse,73.15997,0,0,-1,1
Keyboard&Mouse,73.17998,0.707107,0.292893,2,0
Keyboard&Mouse,73.19997,0.292893,0.707107,0,0
Keyboard&Mouse,73.23997,0,0,-1,0
Keyboard&Mouse,73.25997,0,0,1,0
Keyboard&Mouse,73.27998,0,0,-1,0
Keyboard&Mouse,73.29997,0,0,1,0
Keyboard&Mouse,73.31998,-0.292893,0.707107,0,0
Keyboard&Mouse,73.37997,-0.707107,0.292893,0,0
Keyboard&Mouse,73.39997,-0.707107,-0.292893,0,0
Keyboard&Mouse,73.51997,-0.292893,-0.707107,0,0
Keyboard&Mouse,73.73997,1,0,0,0
Keyboard&Mouse,74.07997,0,0,1,1
Keyboard&Mouse,74.13998,0,0,1,0
Keyboard&Mouse,74.15997,0,0,1,0
Keyboard&Mouse,74.17998,0,0,-2,-1
Keyboard&Mouse,74.19997,0,0,-1,0
Keyboard&Mouse,74.21997,0,0,0,1
Keyboard&Mouse,74.23997,0,0,1,0
Keyboard&Mouse,74.25997,0,0,-1,-1
Keyboard&Mouse,74.27998,0,0,1,1
Keyboard&Mouse,74.29997,0,0,-1,-1
Keyboard&Mouse,74.73997,0,0,-1,1
Keyboard&Mouse,74.75997,0,0,1,-1
Keyboard&Mouse,74.81998,0,0,0,1
Keyboard&Mouse,74.83997,0,0,0,-1
