ControlScheme,Time,MoveDeltaX,MoveDeltaY,AimDeltaX,AimDeltaY
Gamepad,90.43996,0,0,-0.01853561,0.008361772
Gamepad,90.45997,-0.03358842,-0.01673695,-0.3091238,0.05552268
Gamepad,90.47997,-0.05709773,-0.03300102,-0.2868418,0.02368806
Gamepad,90.49997,-0.08341564,-0.06693089,-0.3837696,-0.02878971
Gamepad,90.51997,-0.04786406,-0.05572333,-0.001485527,-0.03670835
Gamepad,90.53997,-0.06276652,-0.09447034,-0.0001861453,-0.03280094
Gamepad,90.55997,-0.05513135,-0.08770302,0.0003324151,-0.01720187
Gamepad,90.57997,-0.03218135,-0.05863419,0.0002056956,-0.006582242
Gamepad,90.59997,-0.05084521,-0.06485209,0.0001682043,-0.004568391
Gamepad,90.61996,-0.06498232,-0.07036644,0.0001249909,-0.003074709
Gamepad,90.63997,-0.09117466,-0.1189277,7.730722E-05,-0.001795534
Gamepad,90.65997,-0.02388954,-0.04135263,5.024672E-05,-0.001125854
Gamepad,90.67997,-0.01531845,-0.02775717,0,0
Gamepad,90.69997,-0.01324117,-0.02413666,0,0
Gamepad,90.71997,-0.00521481,-0.01050985,-0.000279665,0.006696422
Gamepad,90.73997,0.0006669164,-0.0005502701,-8.070469E-05,0.002162285
Gamepad,90.75997,0.0001610518,-0.0001326799,-3.063679E-05,0.0008528493
Gamepad,90.77997,0.001778901,-0.001462281,-0.0001148582,0.003412217
Gamepad,90.79996,0,0,-0.0001348257,0.004541161
Gamepad,90.81997,0.01467752,-0.008444428,-0.0002558231,0.01192411
Gamepad,90.83997,0.01473773,0.008944869,-5.066395E-05,0.003722162
Gamepad,90.85997,0.6046891,0.772747,-6.92606E-05,0.01193174
Gamepad,90.87997,0,0,2.872944E-05,0.007415673
Gamepad,90.89997,0,0,4.673004E-05,0.004699118
Gamepad,90.91997,0,0,7.879734E-05,0.005277758
Gamepad,90.93996,0,0,0.0001605749,0.007532768
Gamepad,90.95997,0,0,0.0001234412,0.004511643
Gamepad,90.97997,0,0,0.0001552701,0.004844816
Gamepad,90.99997,0,0,0.000259757,0.006851763
Gamepad,91.01997,0,0,0.0003345013,0.007423736
Gamepad,91.03997,0,0,0.0005272031,0.009814791
Gamepad,91.05997,0,0,0.0009821057,0.01485581
Gamepad,91.07997,0,0,0.0006222129,0.008014642
Gamepad,91.09997,0,0,0.0006721616,0.007848114
Gamepad,91.11996,0,0,0.0002775788,0.003044359
Gamepad,91.13997,0,0,0.0002923012,0.003101878
Gamepad,91.19997,0,0,0.0002160072,0.002226926
Gamepad,91.21997,0,0,0.0001008511,0.001022644
Gamepad,91.23997,0,0,0.0002964139,0.002945863
Gamepad,91.25996,0,0,0.000251472,0.002432831
Gamepad,91.27997,0,0,7.253885E-05,0.0006904528
Gamepad,91.31997,0,0,0.0002330542,0.00219059
Gamepad,91.33997,-0.202385,-0.05528338,8.744001E-05,0.0008097813
Gamepad,91.35997,-0.1127272,-0.0951899,0,0
Gamepad,91.37997,-0.2632006,-0.08321607,0,0
Gamepad,91.39997,-0.07018691,-0.06158103,0,0
Gamepad,91.41997,-0.2857484,-0.06135318,0,0
Gamepad,91.43996,0.006546736,-0.01669922,0,0
Gamepad,91.45997,0.001338124,-0.003308415,0,0
Gamepad,91.47997,0.001857936,-0.004537702,0.0002959967,0.002697714
Gamepad,91.49997,0.002106965,-0.005070746,0.002212763,0.01836652
Gamepad,91.51997,0.000579536,-0.001381308,0.00279057,0.01991762
Gamepad,91.53997,0.0003640652,-0.000864625,0.001685083,0.01080339
Gamepad,91.55997,-0.01040572,0.02566907,0.002274215,0.01348914
Gamepad,91.57997,0.1126427,0.007984996,0.001390994,0.007739902
Gamepad,91.59997,0.5490502,0.1226361,0.001237154,0.006607458
Gamepad,91.61996,0.2701677,0.2321954,0.0007238984,0.003756225
Gamepad,91.63997,0,0,0.003742695,0.01831007
Gamepad,91.65997,0,0,0.003539145,0.01589285
Gamepad,91.67997,0,0,0.001053631,0.004508466
Gamepad,91.69997,0,0,0.001058519,0.004437789
Gamepad,91.71997,0,0,0.0004815459,0.00198938
Gamepad,91.73997,0,0,0.0007944107,0.003243998
Gamepad,91.75996,0,0,0.00219512,0.008730173
Gamepad,91.77997,0,0,0.01138157,0.0408041
Gamepad,91.79996,0,0,0.5858816,-0.02311811
Gamepad,91.81997,0,0,0.371442,-0.2659005
Gamepad,91.93996,-0.2094456,0.04537051,0,0
Gamepad,91.95997,-0.7731725,0.1402676,0,0
Gamepad,91.97997,0.005809188,0.02847435,0,0
Gamepad,91.99997,0.005729795,0.02464537,0,0
Gamepad,92.01997,0.002341211,0.009328395,0,0
Gamepad,92.03997,0.002147794,0.008240476,0,0
Gamepad,92.05997,0.0008301139,0.00311029,0,0
Gamepad,92.07996,0.000533402,0.001977682,0,0
Gamepad,92.09997,0.0001935363,0.0007132888,0,0
Gamepad,92.11996,0.0005680919,0.002082616,0,0
Gamepad,92.13997,0.0003830791,0.0013946,0,0
Gamepad,92.15997,0.8773742,-0.1080206,0,0
Gamepad,92.17997,0.08670775,-0.1575846,0,0
Gamepad,92.33997,0,0,0.08058272,0.04558196
Gamepad,92.35997,0,0,0.1471938,0.07046673
Gamepad,92.37997,0,0,0.02550232,0.01032653
Gamepad,92.39997,0.005691209,0.008705255,0.1155521,0.03567293
Gamepad,92.41997,0.05507034,0.06532051,0.0867824,0.0300965
Gamepad,92.43996,0.07541188,0.0618109,0.0781883,0.02403761
Gamepad,92.45997,0.2537442,0.1121398,0.08306259,0.02486263
Gamepad,92.47997,0.05319989,0.08749931,0.0436759,0.01394895
Gamepad,92.49997,0.04226258,0.0824984,0.01316732,0.005171359
Gamepad,92.51997,0.07129872,0.2480715,0,0
Gamepad,92.53997,0.0327884,0.02184224,0,0
Gamepad,92.55997,0.08404201,0.05129087,0,0
Gamepad,92.57996,-0.002221584,0.002018213,-0.0152331,-0.0009471178
Gamepad,92.59997,-0.2395206,0.09164691,-0.5750719,-0.1496735
Gamepad,92.61996,-0.431767,-0.832844,-0.05240764,-0.06846537
Gamepad,92.63997,0,0,-0.03099489,-0.0410792
Gamepad,92.87997,-0.2665705,0.2328803,0,0
Gamepad,92.89996,-0.1227411,0.03579396,0,0
Gamepad,92.91997,-0.04475826,0.01303393,0,0
Gamepad,92.93996,0.4340699,-0.2817082,0,0
Gamepad,96.87997,-0.0009760517,0.01489022,0,0
Gamepad,96.89996,-0.00222804,0.04766881,0,0
Gamepad,96.91997,-0.003464044,0.04362908,0,0
Gamepad,96.93996,-0.00378427,0.04773631,0,0
Gamepad,96.95997,-0.001166032,0.01940794,0,0
Gamepad,96.97997,-0.0005069897,0.01682794,0,0
Gamepad,96.99996,-0.001851378,0.006675333,0,0
Gamepad,97.01997,-0.0005753003,0.003983617,0,0
Gamepad,97.03996,-0.0001141829,0.003653869,0,0
Gamepad,97.07996,-8.87746E-05,0.002892837,0,0
Gamepad,97.13997,-2.543628E-05,0.0008374304,0,0
Gamepad,97.33997,0,0,0.001585438,-0.0004206827
Gamepad,97.35996,0,0,0.06473648,-0.01836246
Gamepad,97.37997,0,0,0.04313522,-0.01122348
Gamepad,97.39996,0,0,0.07916012,-0.01394107
Gamepad,97.41997,0,0,0.06830004,-0.007344972
Gamepad,97.43996,0,0,0.1312498,-0.007278256
Gamepad,97.45997,0,0,0.09086338,-0.00329851
Gamepad,97.47997,0,0,0.04218811,-0.002266746
Gamepad,97.49996,0.002931319,-0.0001394898,0.1242462,-0.01261221
Gamepad,97.51997,0.003384271,-0.0001234412,0.04651839,-0.006156236
Gamepad,97.53996,0.007887875,-0.0001287013,0.06599665,-0.00796172
Gamepad,97.55997,0.004812983,3.181398E-05,0.05110496,-0.005561896
Gamepad,97.57996,0.004796276,0.000114724,0.1127624,-0.007410377
Gamepad,97.59997,0.001091341,3.759563E-05,0.07328361,0.005274601
Gamepad,97.61996,0.002403235,9.75877E-05,-0.0001379848,-0.00138317
Gamepad,97.65997,0.002275638,0.0001110584,-0.0004662275,-0.004536159
Gamepad,97.67996,0.02121801,0.00185439,-0.001311004,-0.0118048
Gamepad,97.69997,0.02219735,0.0032648,-0.001097083,-0.009015337
Gamepad,97.71996,0.02374597,-0.003430247,-0.001718938,-0.01293084
Gamepad,97.73997,0.01057542,-0.002451554,-0.00109148,-0.007606924
Gamepad,97.75996,0.01065888,-0.003075123,-0.001188517,-0.007846147
Gamepad,97.77997,0.006669693,-0.0009413064,-0.000513494,-0.003265664
Gamepad,97.79996,0.007028438,0.0007388294,-0.0003337264,-0.002086133
Gamepad,97.81996,0.01171137,0.0005118251,-0.0001186132,-0.0007340312
Gamepad,97.83997,0.006352291,0.0005322397,0,0
Gamepad,97.85996,0.007534608,0.001834884,-0.0004599094,-0.002816319
Gamepad,97.87997,0.007333934,0.001762703,0,0
Gamepad,97.89996,0.007117137,0.00168632,-0.0004773736,-0.002870902
Gamepad,97.91997,0.03475213,0.0004995763,-0.0008013248,-0.004707292
Gamepad,97.93996,0.01466186,0.0008589625,-0.0002480149,-0.001430407
Gamepad,97.95997,0.04004756,0.002357289,-0.0005019903,-0.002857417
Gamepad,97.97997,0.02808386,0.00141342,-0.0005517006,-0.003085792
Gamepad,97.99996,0.01514113,0.001172975,-0.0003852248,-0.002122089
Gamepad,98.01997,0.005793184,0.0009316355,-0.0001862049,-0.001016527
Gamepad,98.03996,0.003399938,-0.001074851,0,0
Gamepad,98.05997,0.002021223,0.0003172904,0,0
Gamepad,98.07996,0.001474589,0.0002302229,-0.0003537536,-0.00191538
Gamepad,98.09997,-0.0002405047,-0.001381055,0,0
Gamepad,98.11996,0,0,-0.0001836419,-0.0009858459
Gamepad,98.13997,-0.009687573,-0.001531407,0,0
Gamepad,98.15997,-0.04450314,0.006880283,0,0
Gamepad,98.17996,-0.05254044,0.0116729,0,0
Gamepad,98.19997,-0.07126373,0.02869774,0,0
Gamepad,98.21996,-0.0392831,0.01866311,0,0
Gamepad,98.23997,-0.02691905,0.01577556,0,0
Gamepad,98.25996,-0.02517106,0.01538375,0,0
Gamepad,98.27997,-0.01819311,0.008232266,-0.001463711,-0.007671446
Gamepad,98.29996,-0.01786533,0.01640269,-0.2428041,-0.004528672
Gamepad,98.31996,-0.02752829,0.02801752,-0.7257018,0.1410407
Gamepad,98.33997,-0.04202715,0.05293182,-0.01303491,0.05474057
Gamepad,98.35996,-0.02192748,0.023745,0,0
Gamepad,98.37997,0.09482893,-0.440689,0,0
Gamepad,98.69997,0,0,0.3530309,-0.08919531
Gamepad,98.71996,0,0,0.3479258,-0.04334792
Gamepad,98.73997,0,0,0.2874588,-0.01922946
Gamepad,98.75996,0,0,-0.002376437,-0.01474129
Gamepad,98.77997,0,0,-0.001601934,-0.009223118
Gamepad,98.79996,0,0,-0.00175339,-0.009553537
Gamepad,98.81996,0,0,-0.0007165074,-0.003760695
Gamepad,98.83997,0,0,-0.0002399683,-0.001242146
Gamepad,98.85996,0,0,-0.0003767014,-0.001933515
Gamepad,98.87997,0,0,-0.203907,-0.01591444
Gamepad,98.89996,0,0,-0.07394159,0.001491755
Gamepad,98.91997,0,0,-0.3765922,0.04844257
Gamepad,98.93996,0,0,-0.3111764,0.1272979
Gamepad,98.95997,0,0,-0.0157335,0.03090916
Gamepad,100.2,0,0,0.03118788,-0.01682277
Gamepad,100.22,0,0,0.1074676,-0.04884317
Gamepad,100.24,0,0,0.329767,-0.06501999
Gamepad,100.26,0,0,0.06992552,-0.04433884
Gamepad,100.28,0,0,0.07696944,-0.02377246
Gamepad,100.3,0,0,0.1352007,-0.02411148
Gamepad,100.32,0,0,0.08910227,-0.01016909
Gamepad,100.34,0,0,0.1063628,-0.009571806
Gamepad,100.36,0,0,0.02448708,0.0014285
Gamepad,100.38,0,0,0.0006186366,0.002502799
Gamepad,100.4,0,0,0.0002143979,0.0008735806
Gamepad,100.42,0,0,-0.0001302361,-0.0005308986
Gamepad,100.44,0,0,-0.0010041,-0.004054457
