ControlScheme,Time,MoveDeltaX,MoveDeltaY,AimDeltaX,AimDeltaY
Gamepad,45.59998,-0.04751401,0.03568937,0,0
Gamepad,45.61998,-0.0360664,0.02679545,0,0
Gamepad,45.63998,-0.02397151,0.01794769,0,0
Gamepad,45.65998,-0.02120683,0.01560716,0,0
Gamepad,45.67999,-0.02471411,0.01705497,0,0
Gamepad,45.69999,-0.04253112,0.03756345,0,0
Gamepad,45.71998,-0.03933592,0.03401291,0,0
Gamepad,45.73998,-0.03534369,0.03041771,0,0
Gamepad,45.75998,-0.01811251,0.01602063,0,0
Gamepad,45.77998,-0.003201902,0.004048064,0,0
Gamepad,45.79998,0.01426777,-0.002367258,0,0
Gamepad,45.81998,0.01281771,-0.007825747,0,0
Gamepad,45.83998,0.008983165,-0.004379734,0,0
Gamepad,45.85999,0.02409507,-0.01509716,0,0
Gamepad,45.87998,0.05832942,-0.04527533,0,0
Gamepad,45.89998,0.07808223,-0.06582951,0,0
Gamepad,45.91998,0.05288994,-0.04929294,0,0
Gamepad,45.93998,0.04253269,-0.04508973,0,0
Gamepad,46.31998,-0.2528226,-0.084651,0,0
Gamepad,46.33998,-0.2934258,-0.08226534,0,0
Gamepad,46.35999,-0.2521422,-0.03620452,0,0
Gamepad,46.37998,-0.174297,-0.02899727,0,0
Gamepad,46.39998,0.006905496,-0.02723643,0,0
Gamepad,46.41998,0.002062857,-0.007563412,0,0
Gamepad,46.43998,0.002020001,-0.007188708,0,0
Gamepad,46.45998,0.002977788,-0.01024017,0,0
Gamepad,46.47998,0.005925894,-0.01926547,0,0
Gamepad,46.49998,0.00566715,-0.01724219,0,0
Gamepad,46.51999,0.0066185,-0.0189116,0,0
Gamepad,46.53998,0.002951324,-0.0080612,0,0
Gamepad,46.55998,0.002555907,-0.006813139,0,0
Gamepad,46.57998,0.001043618,-0.002739459,0,0
Gamepad,46.59998,0.0006670952,-0.001738518,0,0
Gamepad,46.61998,0.0004301071,-0.00111559,0,0
Gamepad,46.65998,0.0005172491,-0.001336724,0,0
Gamepad,46.79998,0.007202029,-0.01804885,0,0
Gamepad,46.81998,0.572319,0.03100228,0,0
Gamepad,46.83998,0.3528236,0.3486173,0,0
Gamepad,47.65998,-0.2687004,0.1240453,0,0
Gamepad,47.67998,-0.1524183,0.2690157,0,0
Gamepad,47.69998,-0.09456235,0.03272796,0,0
Gamepad,47.71998,-0.02067709,0.007075876,0,0
Gamepad,47.73998,-0.03804427,0.01280048,0,0
Gamepad,47.75998,0.5184467,-0.3885605,0,0
Gamepad,47.77998,0.05595566,-0.05710484,0,0
