ControlScheme,Time,MoveDeltaX,MoveDeltaY,AimDeltaX,AimDeltaY
Keyboard&Mouse,45.15998,0,1,0,0
Keyboard&Mouse,45.47998,0,0,1,0
Keyboard&Mouse,45.49998,0,0,-1,0
Keyboard&Mouse,45.51999,0,0,1,0
Keyboard&Mouse,45.53999,-1,0,0,0
Keyboard&Mouse,45.57998,0,0,1,0
Keyboard&Mouse,45.61998,0,0,-1,0
Keyboard&Mouse,45.63998,0,0,-1,0
Keyboard&Mouse,45.75998,0,0,1,0
Keyboard&Mouse,45.77998,0,0,-1,0
Keyboard&Mouse,45.79998,1,0,0,0
Keyboard&Mouse,46.11998,-1,0,0,0
Keyboard&Mouse,46.17999,0,0,1,0
Keyboard&Mouse,46.25998,0,0,-1,0
Keyboard&Mouse,46.37998,0,0,1,0
Keyboard&Mouse,46.39998,0,0,-1,0
Keyboard&Mouse,46.45998,0,0,1,0
Keyboard&Mouse,46.47998,0,0,0,-1
Keyboard&Mouse,46.49998,0,0,-1,1
Keyboard&Mouse,46.51999,0,0,1,-1
Keyboard&Mouse,46.53998,0,0,-1,1
Keyboard&Mouse,46.63998,1,0,0,0
Keyboard&Mouse,46.75998,0,0,-1,0
Keyboard&Mouse,46.79998,0,0,1,0
Keyboard&Mouse,46.81998,0,0,-1,1
Keyboard&Mouse,46.83998,0,0,0,-1
Keyboard&Mouse,46.85998,0,0,1,0
Keyboard&Mouse,47.21998,0,0,0,1
Keyboard&Mouse,47.23998,0,0,0,-1
Keyboard&Mouse,47.25998,0,0,-1,0
Keyboard&Mouse,47.27998,0,0,1,0
Keyboard&Mouse,47.31998,0,0,-1,0
Keyboard&Mouse,47.33998,0,0,-2,0
Keyboard&Mouse,47.35998,-1,0,0,0
Keyboard&Mouse,47.37998,0,0,2,0
Keyboard&Mouse,47.41998,0,0,1,0
Keyboard&Mouse,47.51998,0,0,-1,0
Keyboard&Mouse,47.53998,0,0,1,0
Keyboard&Mouse,47.59998,0,0,-1,0
Keyboard&Mouse,47.61998,1,0,-1,0
Keyboard&Mouse,47.63998,0,0,1,0
Keyboard&Mouse,47.65998,0,0,1,0
Keyboard&Mouse,48.33998,0,1,0,0
Keyboard&Mouse,49.07998,0,0,-1,1
