ControlScheme,Time,MoveDeltaX,MoveDeltaY,AimDeltaX,AimDeltaY
Gamepad,164.9999,-0.004930019,0.01788059,0,0
Gamepad,165.0199,-0.0018664,0.007128164,0,0
Gamepad,165.0399,-0.008210063,0.0343302,0,0
Gamepad,165.0599,-0.01847404,0.3152488,0,0
Gamepad,165.0799,0.007914603,0.06032725,0.0002441406,0.001717716
Gamepad,165.0999,0.07964015,0.2599823,0,0
Gamepad,165.1199,0.2019472,0.2885435,0,0
Gamepad,165.1399,0.06534839,0.05953872,0.2799026,0.005499795
Gamepad,165.1599,0.04718363,0.03697747,0.3082446,-0.01534352
Gamepad,165.1799,0.04873693,0.03370917,0.3631136,-0.07522336
Gamepad,165.1999,0.0291177,0.01818675,0.0386699,-0.05648536
Gamepad,165.2199,0.01624089,0.009553313,0,0
Gamepad,165.2399,0.01861426,0.01045173,0,0
Gamepad,165.2599,0.03797272,0.0197472,0,0
Gamepad,165.2799,0.03715041,0.01738244,0,0
Gamepad,165.2999,0.05480194,0.02236837,0,0
Gamepad,165.3199,0.02877861,0.01026589,0,0
Gamepad,165.3399,0.01955357,0.006416559,0,0
Gamepad,165.3599,0.01025727,0.003188908,0,0
Gamepad,165.3799,0.004120737,0.001247227,0,0
Gamepad,165.3999,0.001475662,0.0004418492,0,0
Gamepad,165.4199,-0.007490814,-0.00226897,0,0
Gamepad,165.4399,-0.01555482,-0.004917264,0,0
Gamepad,165.4599,-0.01267248,-0.00421387,0,0
Gamepad,165.4799,-0.03033656,-0.01086146,0,0
Gamepad,165.4999,-0.02680001,-0.01052821,0,0
Gamepad,165.5199,-0.04210162,-0.01838326,0,0
Gamepad,165.5399,-0.01249772,-0.005907774,0,0
Gamepad,165.5599,-0.02787066,-0.01394999,0,0
Gamepad,165.5799,-0.01523796,-0.008094192,0,0
Gamepad,165.5999,-0.005364865,-0.002930522,0,0
Gamepad,165.6199,-0.005492657,-0.003044724,0,0
Gamepad,165.6399,-0.002073646,-0.001161218,0,0
Gamepad,165.6599,-0.004845172,-0.002738655,0,0
Gamepad,165.6799,-0.002580553,-0.001473129,0,0
Gamepad,165.6999,-0.006474316,-0.003741086,0,0
Gamepad,165.7199,-0.008559108,-0.005045593,0,0
Gamepad,165.7399,-0.007244468,-0.004360795,0.05776317,0.02105328
Gamepad,165.7599,-0.004324138,-0.002642989,0.1118558,0.02629611
Gamepad,165.7799,-0.002018392,-0.001243949,0.08567694,0.01980852
Gamepad,165.7999,-0.001271784,-0.0007871985,0.2583658,0.02873797
Gamepad,165.8199,-0.0008459091,-0.0005250573,0.08092731,0.01947396
Gamepad,165.8399,-0.001428545,-0.0008893609,0.122861,0.01467433
Gamepad,165.8599,0,0,0.254364,0.009477586
Gamepad,165.8799,0.01038492,0.006389916,0.01832736,0.0005499572
Gamepad,165.8999,0.02343693,0.01379204,-0.0005993247,0.004173309
Gamepad,165.9199,0.05279627,0.02805334,-0.0004396439,0.002984613
Gamepad,165.9399,0.03418615,0.01607841,-0.000305295,0.002036676
Gamepad,165.9599,0.02802569,0.0120306,-0.0002012849,0.001327246
Gamepad,165.9799,0.03669488,0.0142557,-0.0002347231,0.001532808
Gamepad,165.9999,0.05078727,0.01706022,0,0
Gamepad,166.0199,0.04146078,0.01173085,0,0
Gamepad,166.0399,0.0404923,0.009625375,0,0
Gamepad,166.0599,0.06932677,0.01242518,0,0
Gamepad,166.0799,0.07936826,0.008141041,0,0
Gamepad,166.0999,0.06274606,0.001940787,0,0
Gamepad,166.1199,0.04980278,-0.001264513,0,0
Gamepad,166.1399,0.07129985,-0.006153166,0,0
Gamepad,166.1599,0.06811807,-0.01073897,0,0
Gamepad,166.1799,0.1980934,-0.06009424,0,0
Gamepad,166.1999,0.05631411,-0.02577233,0,0
Gamepad,166.2199,0.05127305,-0.02729702,-0.0002323389,0.001502156
Gamepad,166.2399,0.03576046,-0.02139223,0,0
Gamepad,166.2599,0.01475638,-0.009431243,-0.0002161264,0.001383379
Gamepad,166.2799,0.009552777,-0.006302118,0,0
Gamepad,166.2999,0.008758307,-0.005917311,-0.0002644658,0.001676515
Gamepad,166.3199,0.002136707,-0.001464248,-0.0002578497,0.001616523
Gamepad,166.3399,0.008726478,-0.006065011,-0.00284934,0.01684979
Gamepad,166.3599,0.005811512,-0.004116118,-0.002774537,0.01493661
Gamepad,166.3799,0.003027916,-0.002169251,-0.001969695,0.009904698
Gamepad,166.3999,0.001573324,-0.001133859,-0.002263427,0.01078486
Gamepad,166.4199,0.002185106,-0.001582742,-0.0009367466,0.004298329
Gamepad,166.4399,0.001514733,-0.001102328,-0.0007184744,0.003236964
Gamepad,166.4599,0.003366172,-0.002465129,-0.001179934,0.005209193
Gamepad,166.4799,0.002852798,-0.002106369,-0.00104636,0.004514322
Gamepad,166.4999,0.006616831,-0.004946053,-0.001239598,0.005229458
Gamepad,166.5199,0.01252574,-0.009599507,-0.00074476,0.003083169
Gamepad,166.5399,0.01395184,-0.01106966,-0.0002866983,0.001175314
Gamepad,166.5599,0.01995033,-0.01655215,-0.0004943013,0.002012536
Gamepad,166.5799,0.03278333,-0.02919018,-0.00240469,0.009544432
Gamepad,166.5999,0.006994069,-0.01272911,-0.0009326339,0.003598675
Gamepad,166.6199,-0.003386497,-0.06215811,-0.00226301,0.008511811
Gamepad,166.6399,-0.003856182,-0.07682168,-0.001725852,0.006296396
Gamepad,166.6599,-0.003482997,-0.04283899,-0.0004711151,0.001691461
Gamepad,166.6799,-0.6484125,-0.5125488,-0.0003895164,0.001389474
