ControlScheme,Time,MoveDeltaX,MoveDeltaY,AimDeltaX,AimDeltaY
Keyboard&Mouse,0.03999998,0,0,53,-584
Keyboard&Mouse,0.1999999,0,0,-49,586
Keyboard&Mouse,0.2199999,0,0,-3,0
Keyboard&Mouse,0.2399999,0,0,-1,0
Keyboard&Mouse,0.2599999,0,0,0,-2
Keyboard&Mouse,0.4599998,0,0,-2,0
Keyboard&Mouse,0.4799998,0,0,2,0
Keyboard&Mouse,0.5199998,0,0,-2,0
Keyboard&Mouse,0.5399998,0,0,-1,0
Keyboard&Mouse,0.5599998,0,0,1,1
Keyboard&Mouse,0.5799998,0,0,-1,0
Keyboard&Mouse,0.5999998,0,0,0,-1
Keyboard&Mouse,0.6199998,0,0,-2,1
Keyboard&Mouse,0.6399997,0,0,-4,1
Keyboard&Mouse,0.6599998,0,0,-5,2
Keyboard&Mouse,0.6799998,0,0,-2,1
Keyboard&Mouse,0.6999997,0,0,1,-4
Keyboard&Mouse,0.7199997,0,0,9,-1
Keyboard&Mouse,0.7399997,0,0,6,0
Keyboard&Mouse,0.7999997,0,0,-1,0
Keyboard&Mouse,0.8399997,0,0,1,0
Keyboard&Mouse,0.8799997,0,0,-1,0
Keyboard&Mouse,0.9799997,0,0,1,0
Keyboard&Mouse,1.26,0,0,1,0
Keyboard&Mouse,1.279999,0,0,-1,0
Keyboard&Mouse,1.38,0,1,1,0
Keyboard&Mouse,1.399999,0,0,0,-1
Keyboard&Mouse,1.419999,0,0,0,1
Keyboard&Mouse,1.439999,0,0,-1,-1
Keyboard&Mouse,1.459999,0,0,1,0
Keyboard&Mouse,1.479999,0,0,-1,1
Keyboard&Mouse,1.5,0,0,1,0
Keyboard&Mouse,1.52,0,0,-1,0
Keyboard&Mouse,1.559999,0,-1,0,0
Keyboard&Mouse,1.599999,0,0,1,-1
Keyboard&Mouse,1.619999,0,0,-1,0
Keyboard&Mouse,1.639999,0,0,0,1
Keyboard&Mouse,1.739999,0,0,1,0
Keyboard&Mouse,1.779999,0,0,-1,0
Keyboard&Mouse,1.819999,0,0,1,0
Keyboard&Mouse,1.839999,0,0,0,-1
Keyboard&Mouse,1.859999,0,1,0,1
Keyboard&Mouse,1.899999,0,0,4,0
Keyboard&Mouse,1.919999,0,0,-2,0
Keyboard&Mouse,1.939999,0,0,-3,0
Keyboard&Mouse,1.959999,0,-1,0,0
Keyboard&Mouse,2.059999,0,0,1,0
Keyboard&Mouse,2.079999,0,0,-1,0
Keyboard&Mouse,2.119999,0,0,1,0
Keyboard&Mouse,2.159999,0,0,-1,0
Keyboard&Mouse,2.199999,0,1,0,0
Keyboard&Mouse,2.259999,0,-1,0,0
Keyboard&Mouse,2.419999,0,1,0,0
Keyboard&Mouse,2.499999,0,-1,0,0
Keyboard&Mouse,2.639999,0,0,1,0
Keyboard&Mouse,2.659999,0,1,1,0
Keyboard&Mouse,2.679999,0,0,-2,-1
Keyboard&Mouse,2.699999,0,0,0,1
Keyboard&Mouse,2.759999,0,-1,0,0
Keyboard&Mouse,2.819999,0,0,0,-1
Keyboard&Mouse,2.859999,0,0,1,1
Keyboard&Mouse,2.879999,0,0,-1,0
Keyboard&Mouse,2.919999,0,1,0,0
Keyboard&Mouse,2.999999,0,-1,0,0
Keyboard&Mouse,3.019999,0,0,1,0
Keyboard&Mouse,3.039999,0,0,-1,0
Keyboard&Mouse,3.119999,0,0,0,-1
Keyboard&Mouse,3.159999,0,1,0,1
Keyboard&Mouse,3.259999,0,-1,1,0
Keyboard&Mouse,3.279999,0,0,-1,0
Keyboard&Mouse,3.459999,0,1,0,0
Keyboard&Mouse,3.539999,0,-1,0,0
Keyboard&Mouse,3.559999,0,0,1,0
Keyboard&Mouse,3.579999,0,0,-1,0
Keyboard&Mouse,3.639999,0,0,1,0
Keyboard&Mouse,3.659999,0,0,-1,0
Keyboard&Mouse,3.859999,0,0,1,0
Keyboard&Mouse,3.879999,0,0,-1,0
Keyboard&Mouse,4.239998,0,0,1,0
Keyboard&Mouse,4.259998,0,0,-1,0
Keyboard&Mouse,4.299998,0,0,1,0
Keyboard&Mouse,4.319998,0,0,-1,0
Keyboard&Mouse,4.359998,0,0,2,0
Keyboard&Mouse,4.379999,0,0,-1,0
Keyboard&Mouse,4.399999,0,0,-1,0
Keyboard&Mouse,4.439999,0,0,1,0
Keyboard&Mouse,4.459999,0,-1,0,0
